id,label,prediction
50901,agreed,unrelated
289240,unrelated,unrelated
245467,agreed,unrelated
172015,unrelated,unrelated
131548,unrelated,unrelated
228184,disagreed,unrelated
129462,unrelated,unrelated
204102,unrelated,unrelated
148798,unrelated,unrelated
90517,unrelated,unrelated
104171,agreed,unrelated
191223,unrelated,unrelated
182281,unrelated,unrelated
17425,unrelated,unrelated
115184,unrelated,unrelated
98930,unrelated,unrelated
266264,agreed,unrelated
260421,unrelated,unrelated
181430,unrelated,unrelated
321033,unrelated,unrelated
249021,unrelated,unrelated
97393,unrelated,unrelated
147786,unrelated,unrelated
282550,unrelated,unrelated
12171,unrelated,unrelated
268212,agreed,unrelated
125809,unrelated,unrelated
313375,agreed,unrelated
235124,unrelated,agreed
281188,unrelated,unrelated
175989,unrelated,unrelated
73522,unrelated,unrelated
113121,agreed,agreed
236567,agreed,unrelated
222399,unrelated,unrelated
209441,unrelated,unrelated
7052,unrelated,unrelated
245864,agreed,unrelated
196510,agreed,agreed
285069,unrelated,unrelated
34019,unrelated,unrelated
182414,unrelated,unrelated
152301,unrelated,unrelated
116884,unrelated,unrelated
24278,unrelated,unrelated
190243,unrelated,unrelated
89074,unrelated,unrelated
10974,agreed,unrelated
193750,unrelated,agreed
130027,unrelated,unrelated
132959,unrelated,unrelated
245514,unrelated,agreed
102850,unrelated,unrelated
64153,unrelated,unrelated
27617,unrelated,unrelated
266735,unrelated,unrelated
262844,agreed,unrelated
228310,unrelated,unrelated
267423,agreed,agreed
40243,unrelated,unrelated
302380,unrelated,unrelated
300776,unrelated,unrelated
270496,agreed,agreed
301682,unrelated,unrelated
321042,unrelated,unrelated
2698,unrelated,unrelated
9764,unrelated,unrelated
198350,unrelated,unrelated
182809,agreed,agreed
216704,unrelated,unrelated
213367,unrelated,unrelated
85091,unrelated,unrelated
198560,unrelated,agreed
50506,unrelated,unrelated
155869,agreed,agreed
17508,unrelated,unrelated
160099,unrelated,unrelated
158546,unrelated,unrelated
144528,unrelated,unrelated
156731,agreed,agreed
296911,unrelated,unrelated
994,unrelated,unrelated
286706,unrelated,unrelated
221470,agreed,unrelated
92515,agreed,unrelated
114057,unrelated,unrelated
45123,unrelated,unrelated
176763,unrelated,unrelated
179886,agreed,unrelated
3204,unrelated,unrelated
19927,unrelated,unrelated
290571,unrelated,unrelated
235708,unrelated,unrelated
109326,unrelated,unrelated
62129,unrelated,unrelated
304437,agreed,agreed
112135,agreed,agreed
232630,disagreed,unrelated
237845,unrelated,unrelated
90202,unrelated,unrelated
142281,agreed,unrelated
152388,unrelated,unrelated
155882,agreed,agreed
119562,agreed,unrelated
128833,disagreed,unrelated
42112,unrelated,agreed
28192,unrelated,unrelated
56762,unrelated,unrelated
183254,unrelated,unrelated
287515,unrelated,unrelated
11491,unrelated,unrelated
66462,unrelated,unrelated
205554,unrelated,unrelated
142897,unrelated,unrelated
84392,unrelated,unrelated
200952,unrelated,unrelated
313814,agreed,agreed
218534,unrelated,unrelated
145550,unrelated,unrelated
108046,agreed,agreed
97551,agreed,agreed
74634,unrelated,unrelated
210731,unrelated,unrelated
